25642:如果\从\另\一\角度\来\看\,\这\件\事\就\显得\很\可笑\.\
25973:世界\革命\人民\决不\会\在\核威胁\面前\屈服\.\
#The revolutionary people of the world will never knuckle under to the threat of nuclear weapons.
技拌 酋疙 牢刮篮 例措肺 琴 困蛆 菊俊辑 奔汗且 府啊 绝促.

25974:世界\经济\已\从\极端\不景气\逐渐\复苏\.\
#The world economy had turned lifeward from deep recession.
技拌 版力绰 捞固 必档狼 阂版扁俊辑 痢瞒 雀汗登菌促.

25975:事\隔\几\年\后\,\他\又\回来\看望\我们\了\.\
#After a lapse of several years he came back to see us.
割 斥狼 埃拜阑 滴绊 唱辑, 弊绰 促矫 快府甫 焊矾 倒酒吭促.

25976:事故\的\报告\认为\公司\是\没有\任何\责任\的\.\
#The report on the accident exonerates the company from any responsibility.
荤绊狼 焊绊辑绰 雀荤啊 酒公繁 氓烙档 绝促绰 巴栏肺 咯扁绊 乐促.

25977:事故\发生\后\,\尸体\被\压\得\血肉\模糊\,\难以\辨认\.\
#After the accident the bodies were too badly mangled to be recognized.
荤绊 惯积 饶俊 矫眉绰 趋腊阑 舅酒焊瘤 给且 沥档肺 喘妨辑 备喊秦 郴扁 绢妨奎促.

25978:事故\发生\后\到\现在\,\她\仍然\处于\休克\状态\.\
#She is still in shock after the accident.
荤绊 惯积 饶 瘤陛鳖瘤, 弊赤绰 咯傈洒 碱农 惑怕俊 贸秦 乐促.

25979:事件\发生\后\他\还\能\到\这里\来\,\我\觉得\奇怪\.\
#I wonder that he can come here after what happened.
荤扒捞 惯积茄 饶俊 弊绰 咯傈洒 咯扁俊 棵 荐 乐栏聪, 唱绰 捞惑窍促绊 积阿茄促.

25980:事情\并不是\那样\的\;\这\件\小\事\被\过分\夸大\了\.\
#It didn't really happen like that; the incident's been blown up out of all proportion.
老篮 搬内 弊矾茄 巴捞 酒聪促; 捞 累篮 老捞 瘤唱摹霸 苞厘登菌促.

25981:事情\出现\这\种\异常\变化\,\你\作\何\解释\?\
#How do you explain this strange turn of events?
老捞 捞矾茄 捞惑 函拳啊 唱鸥车栏聪, 呈绰 绢痘霸 汲疙窍摆聪?

25982:事情\凑\在一起\,\使得\火\势\更加\凶猛\.\
#Everything concurred to greaten fire.
老捞 茄单 嘎蹿靛妨辑, 扁技甫 歹宽 竿纺窍霸 沁促.

25983:事情\的\经过\说来话长\,\我\就\不\讲\了\.\
#I will not burden you with a lengthy account of what happened.
老狼 版苞绰 富窍磊搁 辨促. 唱绰 捞具扁窍瘤 臼摆促.

25984:事情\发生\在\我们\最\料想\不到\的\时候\.\
#It happened just when we least expected it.
老篮 快府啊 啊厘 抗扁摹 给且 锭俊 惯积茄促.

25985:事情\既\已\弄\得\这么\糟\,\我们\就\该\罢手\了\.\
#When things get this fouled-up it's time for us to quit.
老捞 扁空 捞固 捞犯霸 钧噶捞 登菌栏聪, 快府绰 颊阑 都具 茄促.

25986:事情\就\这样\巧\,\我们\是\同一\天\生日\.\
#It so happens that we have the same birthday.
老捞 捞犯霸 傍背酚促聪. 快府绰 鞍篮 朝 积老捞促.

25987:事情\可能\更\坏\,\这\是\不幸\中\的\大幸\.\
#It could have been worse.
老捞 歹宽 唱卉 瘤档 葛弗促. 捞巴篮 阂青 吝狼 促青捞促.

25988:事情\是\那么\有趣\,\逗\得\我\大笑\不止\.\
#It was so funny,I couldn't stop laughing.
老捞 弊犯霸 犁固乐绢辑 唱甫 弊磨 荐 绝阑 沥档肺 眶霸 茄促.

25989:事实\是\直到\战争\结束\,\他们\才\重新\见面\.\
#It fell out that they never saw each other again until the end of the war.
荤角篮 傈里捞 场朝 锭鳖瘤看促. 弊甸篮 弊力辑具 促矫 父车促.

25990:事实\已\使\我\完全\相信\你\讲\的\是\真话\.\
#It's been proved to my satisfaction that you're telling the truth.
荤角篮 捞固 唱肺 窍咯陛 匙啊 富茄 巴捞 柳淬捞扼绊 肯傈洒 瓜霸 沁促.

25991:事实\证明\,\林\肯\郡\的\人\是\擅长\逗人\笑\的\人\.\
#The men of Lincolnshire,it turns out,are great funsters.
荤角捞 刘疙窍淀捞, Lincolnshire 狼 荤恩甸篮 荤恩 眶扁扁甫 肋窍绰 荤恩甸捞促.

25992:是否\需要\进一步\的\消息\,\望\告\.\愿\乐意\提供\.\
#We shall be glad to hear whether there is any further information you would like.It will be a pleasure to supply it.
柳老焊茄 沥焊甫 鞘夸肺 窍绰 瘤狼 咯何甫 富靖秦 林矫搁, 扁悔霸 力傍秦 靛副 巴涝聪促.

25993:是否\有\某种\个人\困难\引致\他\对\工作\缺乏\兴趣\?\
#Does some personal difficulty underlie his lack of interest in work?
绢栋茄 俺牢利牢 绢妨框捞 弊肺 窍咯陛 老俊 措秦辑 蕊固甫 绝霸 具扁窍瘤夸?

25994 Stan:是\个\不平凡\的\人\,\我们\永远\不会\忘记\他\.\
#Stan was one of those extraordinary people who will never be forgotten.
Stan 篮 乞裹窍瘤 臼篮 荤恩捞促. 快府绰 康盔洒 弊甫 镭阑 荐 绝促.

25995:是\你\把\牛奶\溅\出来\的\,\你\必须\清理\干净\.\
#It was you who spilt the milk; you'll have to mop it up.
快蜡甫 峻瘤弗 巴捞 呈瘤. 呈绰 柄昌窍霸 摹况具 茄促.

25996:是\人\指挥\武器\,\而不是\武器\指挥\人\.\
#Man dictates to weapons ,not vice versa.
荤恩捞 公扁甫 瘤戎窍绰 巴捞瘤, 公扁啊 荤恩阑 瘤戎窍绰 巴篮 酒聪促.

25997:是\什么\东西\使\你\做出\这样\奇怪\的\举动\?\
#What possessed you to act so strangely?
公均捞 弊肺 窍咯陛 捞犯霸 扁鲍茄 青悼阑 窍霸 茄 巴牢啊?

25998:是\什么\因素\使\金属\与\非金属\互\不\相同\?\
#What is it that makes metals different from non-metals?
绢恫 牢家啊 陛加苞 厚陛加阑 辑肺 鞍瘤 臼霸 窍绰 巴牢啊?

25999:是\谁\给\我\报名\参加\星期六\的\越野赛跑\的\?\
#Who gave my name in for the cross-country run on Saturday?
穿啊 唱俊霸 配夸老狼 农肺胶 牧抿府俊 曼啊 殿废秦 霖 巴牢啊?

26000:是\谁\在\厨房\的\地板\上\留下\这些\泥\脚印\?\
#Who left these muddy footprints on the kitchen floor?
穿啊 何君狼 付风 困俊 捞矾茄 柳入 惯磊惫阑 巢板绰啊?

26001:是\她\把\帽子\和\大衣\放\到\一\张\椅子\上\吗\?\
#Was it she that placed his cap and overcoat on a chair?
弊赤啊 葛磊客 寇捧甫 狼磊 困俊 滴菌蠢衬?

26002:嗜\酒\毁\了\你的\父亲\,\而且\也\将\毁\了\你\!\
#Drink was your father's ruin and it will be the ruin of you too!
贱阑 付矫绰 巴捞 呈狼 酒滚瘤甫 噶闷绊, 肚 呈档 噶磨 巴捞促.

26003:适当\的\饮食\和\运动\对于\健康\都\很\重要\.\
#Proper diet and exercise are both important for health.
利寸茄 澜侥苞 款悼篮 扒碍俊 措秦辑 葛滴 概快 吝夸窍促.

26004:适用于\各种\质料\织物\,\尤其\是\化纤\织物\;\
#Safe for all washable fabrics,especially synthetics;
阿辆 盔丰狼 流拱, 漂洒 拳切 级蜡 流拱俊 利侩秦扼.

26005:市政\委员会\花\了\不少\钱\来\维修\那\座\古\城堡\.\
#The Town Council spent a lot of money to preserve the old castle.
矫沥 困盔雀绰 腹篮 捣阑 结辑 弊 烤 己焊甫 焊荐沁促.

26006:市中心\发生\爆炸\后\,\成群\的\人\抢劫\了\商店\.\
#Following the explosions in the town centre,crowds of people looted the shops.
矫 吝缴篮 气惯捞 惯积茄 饶俊, 都甫 瘤篮 荤恩甸捞 惑痢阑 呕秒沁促.

26007:室外\高耸\的\树木\,\于\客厅\显得\昏暗\.\
#The living room is bedimmed by the towering trees outside.
笼 观狼 臭捞 稼篮 唱公甸捞 芭角阑 绢滴况焊捞霸 茄促.

26008:视觉\兴\听觉\两者\都\是\接受\外界\刺激\的\感觉\.\
#Both vision and hearing are exteroceptive senses.
矫阿苞 没阿 笛篮 葛滴 寇何 磊必阑 罐绰 皑阿捞促.

26009:试\想\在\长征\中\得\忍受\多么\大\的\艰难\困苦\啊\.\
#Just imagine what hardships had to be put up with during the Long March.
厘沥 吝俊 倔付唱 奴 绢妨框阑 牢郴秦具 沁绰瘤 积阿秦 焊酒扼.

26010:收到\你的\信\后\,\我\会\立即\寄\去\所有\证明\材料\.\
#As soon as I receive your letter,I shall forward you all my supporting documents.
呈狼 祈瘤甫 罐篮 饶俊, 唱绰 溜阿 葛电 刘疙 磊丰甫 何磨 巴捞促.

26011:收到\你\方\3\月\1\0\日\来信\,\现\答复\如下\:\
#We have received your letter of March 1 and would like to inform you of the following:
寸脚螟狼 3岿 10老 祈瘤甫 罐绊, 瘤陛 促澜苞 鞍捞 雀翠钦聪促.

26012:收\款\后\,\我\方\即\汇款\支付\你\方\3\%\佣\金\.\
#Remittance to cover your 3% commission will be made as soon as the proceeds have been collected.
措陛阑 罐篮 饶, 快府螟篮 梆 寸脚螟俊霸 价陛茄 捣狼 3%狼 目固记阑 瘤阂且 巴涝聪促.

26013:收\棉花\时\希望\你们\能\设法\帮助\我们\.\
#When the cotton crop comes in,we hope you will manage to help us.
搁拳甫 罐阑 锭, 寸脚甸捞 快府甫 档客林角 荐 乐扁甫 锐噶钦聪促.

26014:收音机\和\电视\是\信息\交流\的\重要\工具\.\
#Radio and television are important means of communication.
扼叼坷客 炮饭厚怜篮 沥焊 背幅狼 林夸茄 傍备捞促.

26015:手\提\灯\的\光\忽然\照\在\一\个\奇怪\的\东西\上\.\
#The lantern light suddenly fell on a curious object.
颊傈殿狼 蝴捞 癌磊扁 茄 捞惑茄 拱扒 困甫 厚眠菌促.

26016:首次\订购\时\,\本人\将\提供\信用\照会\资料\给\您\.\
#My credit references will be provided if you can make an initial order.
盖贸澜 林巩窍角 锭, 夯牢篮 脚侩 炼雀 磊丰甫 寸脚俊霸 力傍且 巴涝聪促.

26017:首先\把\米\淘\好\,\然后\再\放\在\开水\中\煮\.\
#First prepare the rice by washing it,then cook it in boiling water.
快急 揭阑 肋 灸绊 唱辑, 促矫 产绰 拱 加俊辑 持绊 虑扼.

26018:首相\的\支持\使\那个\执政\党\的\党员\当选\了\.\
#The Prime Minister's support got the official party man in.
荐惑狼 瘤瘤啊 弊 笼鼻寸狼 寸盔阑 寸急矫淖促.

26019:首相\号召\大家\为了\国家\的\统一\而\努力\.\
#The Prime Minister called on everyone to work hard for national unity.
荐惑篮 葛滴俊霸 惫啊狼 烹老阑 困秦辑 畴仿且 巴阑 龋家沁促.

26020:售货员\拿\出\三\架\收音机\供\我们\选择\.\
#The shop-assistant put forward three radios for our choice.
魄概盔篮 快府俊霸 急琶窍档废 技 措狼 扼叼坷甫 波陈促.

26021:受\家庭\的\影响\,\兄弟\姐妹\也\各\有\其\艺术\爱好\.\
#Children grown up in this family have also developed different kinds of tastes in art appreciation.
啊沥狼 康氢阑 罐酒辑, 屈力 磊概档 阿阿 弊 抗贱利 秒固啊 乐促.

26022:受\人\施舍\不\能\挑剔\;\乞丐\没有\挑\嘴\的\份\.\
#beggars must not be choosers .
荤恩甸俊霸 锐荤甫 罐绰 巴篮 祈侥且 荐 绝促. 芭瘤绰 祈侥且 脚盒捞 酒聪促.

26023:书\的\每\一\页\都\洋溢\着\兴高采烈\的\情绪\.\
#Every page of the book glows with good humor.
氓狼 葛电 率付促 脚官恩唱绰 盒困扁啊 逞媚儒福绊 乐促.

26024:树丛\中\鸟儿\嘁\嘁\喳喳\叫\着\使\我\兴高采烈\.\
#The twitter of birds among the bushes made me very happy.
荐钱 加俊辑 货啊 瘤瘤硅硅 快绰 巴篮 唱甫 脚官恩唱霸 茄促.

26025:数\年\前\我们\厂\就\开始\使\产品\多样化\.\
#Our factory diversified several years ago.
荐 斥 傈俊 快府甸狼 傍厘篮 惑前狼 促剧拳甫 矫累沁促.

26026:数\种\稀有\动物\最近\几\年\在\那\被\发现\.\
#Several rare animals have been sighted there in recent years.
荐 辆狼 锐蓖茄 悼拱捞 弥辟 割 斥俊 芭霸俊辑 惯斑登菌促.

26027:双方\都\积极\开展\竞选\运动\来\拉\选票\.\
#Both parties had an active campaign to round up the votes.
街规 葛滴啊 利必利栏肺 急芭 款悼阑 傈俺秦辑 急芭钎甫 缠菌促.

26028:双方\都\振振有词\地\辩论\着\,\谁\也\不服\谁\.\
#Both sides argued with reason ,and neither would give in.
街规 葛滴 寸楷窍霸 函沸窍绊 乐绢辑, 穿备档 奔汗窍瘤 臼绰促.

26029:双方\宣传\人员\封\讨论\之\事\各\执\一端\.\
#The matter was discussed exparte by propagandists on both sides.
街规狼 急傈盔篮 配沸窍绰 巩力俊 措秦辑 阿磊 磊扁 狼斑阑 绊笼茄促.

26030:双方\之间\的\长期\斗争\当时\尚未\结束\.\
#The long struggle between the two parties was then not yet played out.
街规 埃狼 厘扁 捧里篮 寸矫 酒流 场唱瘤 臼疽促.

26031:双\折\卷\板\,\外\包\牛皮\纸\,\然后\装\木\箱\.\
#Each piece is to be doubled folded,rolled on cardboard,wrapped in kraft paper and then packed in wooden cases.
墨靛焊靛 困俊 滴锅 立绢辑 富绊, 农贰橇飘 其捞欺肺 把器厘阑 茄 饶 唱公 惑磊甫 淬酒扼.

26032:谁\告诉\你\玛丽\和\我\已经\断绝\关系\了\?\
#Who told you that Mary and I had split up?
穿啊 呈俊霸 付府客 郴啊 捞固 包拌啊 谗车促绊 富沁聪?

26033:谁\会\在\这\种\极\不\合适\的\时刻\打电话\给\我\呢\?\
#Who is calling me at this unearthly hour ?.
穿啊 捞繁 酒林 何利寸茄 矫阿俊 唱俊霸 傈拳甫 茄 芭具?

26034:谁\侵犯\我国\的\领土\,\我们\就\消灭\它\.\
#We will destroy whoever intrudes into out territory.
穿备电 快府 唱扼狼 康配甫 魔裹窍搁 快府绰 弊巴阑 家戈矫懦 巴捞促.

26035:谁\要是\看\不到\这\一点\就要\犯\极大\的\错误\.\
#Whoever fails to see this will make a big blunder.
穿备电 父距 捞 痢阑 焊瘤 给沁促搁, 措窜茄 角荐甫 裹且 巴捞促.

26036:谁\也\阻挡\不了\我们\走\社会主义\道路\.\
#No one can stop us from taking the socialist road.
穿备档 快府啊 荤雀林狼 畴急栏肺 啊绰 巴阑 阜阑 荐 绝促.

26037:水\被\加热\和\冷冻\时\,\所\产生\的\作用\不\一样\.\
#Water behaves in different ways when it is heated and when it is frozen.
拱篮 啊凯登绊 趁悼瞪 锭, 惯积窍绰 累侩捞 鞍瘤 臼促.

26038:水\波\流动\的\方式\与\光\的\传播\方式\有\相似\之\处\.\
#There is an analogy between the way water moves in waves and the way light travels.
拱捞 蜡悼登绰 规侥苞 蝴捞 傈颇登蠢 规侥篮 厚搅茄 痢捞 乐促.

26039:水\池\里\泼剌\一\声\,\一\条\大\金鱼\窜\了\起来\.\
#There was splash goldfish in the pond,and a big goldfish bobbed up.
楷给俊辑 迫迭 家府啊 唱歹聪, 奴 陛贺绢 茄 付府啊 崔酒车促.

26040:水\从\井\中\抽\起来\后\就\立即\加以\净化\.\
#The water was purified as soon as it was pumped up from the well.
拱篮 快拱俊辑 惶酒棵赴 饶 溜阿 沥拳登菌促.

26041:水\呛\入\他的\咽喉\,\他\开始\透\不过\气\来\.\
#Water went down his throat and he started to choke.
拱捞 弊狼 牢饶肺 甸绢啊磊 弊绰 见阑 郴蒋 荐 绝扁 矫累沁促.

26042:水手\爬\上\岩石\,\海浪\就\冲击\不到\他\了\.\
#The sailor climbed up on the rock and got beyond the reach of the wavers.
急盔捞 鞠籍栏肺 扁绢棵扼啊辑, 颇档绰 弊甫 锭副 荐 绝菌促.

26043:水桶\打翻\了\,\大量\的\水\泼洒\在\街\上\.\
#The bucket fell over,sending a shower of water into the street.
荐烹捞 第笼绢廉辑, 措樊狼 拱捞 芭府俊 谎妨脸促.

26044:水压\使\轮子\转动\,\这\种\动能\被\用\来\发电\.\
#The pressure of the water turns this wheel,and this is used to make electric power.
荐拘捞 官柠甫 倒酒啊霸 窍绰 捞矾茄 款悼 俊呈瘤啊 惯傈俊 荤侩等促.

26045:水\在\华\氏\三\十\二\度\即\摄氏\零度\时\结\冰\.\
#Water freezes at 32 degrees Fahrenheit or 0 degrees Centigrade .
拱篮 拳揪 32档 溜 挤揪 0档俊辑 攫促.

26046:水\渍\险\是否\包括\甲板\上装\货\的\规定\?\
#Does a W.P.A.policy include a deck loading stipulation?
盒颊 焊氰篮 癌魄 困 拳拱 急利阑 器窃窍绰 痹沥涝聪鳖?

26047:睡\过头\并不是\上学\迟到\的\正当\理由\.\
#Oversleeping is not a valid excuse for being late for school.
词泪篮 搬内 切背俊 瘤阿茄 沥寸茄 捞蜡啊 酒聪促.

26048:税务\所\我\有\个\熟人\,\她\可以\帮助\我们\.\
#I've got a contact in the tax office - she can help us.
技公家俊 唱绰 酒绰 荤恩捞 窍唱 乐绰单, 弊赤啊 快府甫 档匡 荐 乐促.

26049:说不定\有\一天\我们\能\化\点\气力\去\做\这\件\事\.\
#Perhaps we'll get round to doing it some day.
酒付档 攫哩啊 快府绰 粱 畴仿秦辑 捞 老阑 且 荐 乐阑 巴捞促.

26050:说到\葡萄酒\没有\一\个\国家\能\比\得\上\法国\.\
#Forwine no country can match France.
器档林甫 富茄促搁 橇尔胶客 厚背且 荐 乐绰 惫啊绰 绝促.

26051:说到\他的\行为\,\说\他\有时\不\真诚\并不\为\过\.\
#He was sometimes uncandid,to put no harsher name to his conduct.
弊狼 青悼阑 富茄促搁, 弊绰 锭锭肺 己角窍瘤 臼瘤父, 瘤唱摹瘤绰 臼促.

26052:说到\休息\没有\什么\比\得\上\在\海边\度过\一天\.\
#For relaxation nothing compares with a day on the beach.
绒侥阑 富茄促搁 秦函俊 啊辑 窍风 焊郴绰 巴苞 厚背且 荐 乐绰 巴篮 绝促.

26053:说到\自己的\英语\,\她\动不动\就\生气\.\
#She is very defensive about her English.
磊脚狼 康绢甫 富窍绰 巴俊, 弊赤绰 吧峭窍搁 拳甫 辰促.

26054:说\得\婉转\些\,\这\部\新\电影\不\太\成功\.\
#The new film has not been a great success,to put it mildly.
粱 肯邦窍霸 富窍磊搁, 捞 货 康拳绰 弊促瘤 己傍窍瘤 给沁促.

26055:说\今年\的\犯罪\率\将\仍然\很\高\不会\错\.\
#It's safe to say that crime will continue at a high rate this year.
陛斥狼 裹了啦捞 咯傈洒 概快 臭阑 巴捞扼绊 富窍绰 巴篮 撇府瘤 臼阑 巴捞促.

26056:说\凯\撒\看\了\看\手表\,\那\是\弄错\时代\了\.\
#It is an anachronism to say Julius Caesar looked at his watch.
矫捞历啊 矫拌甫 焊疽促绰 巴篮 矫措甫 肋给 救 巴捞促.

26057:说来\实在\奇怪\,\他\连\自己的\生日\也\记\不得\.\
#Oddly enough,he didn't remember his own birthday.
富窍磊搁 沥富肺 捞惑窍促. 弊绰 磊脚狼 积老炼瞒 扁撅窍瘤 给茄促.

26058:说\起\话\来\像\是\在\此地\住\了\很久\的\人\.\
#Speaking like an old residenter ..
富窍绰 巴篮 付摹 捞 镑俊辑 酒林 坷阀悼救 混疽带 荤恩牢 巴 鞍促.
